# author : Yashvi Sharma
# source : https://www.oir.caltech.edu/twiki_oir/pub/Keck/NGAO/NewKAONs/KAON554_NGAO_Passband_Definitions.pdf
# date_created : 2025-08-28
# date_modified : 2025-08-28
# status : Design
# type : atmosphere:ter_curve
# pwv : 1.0
# airmass : 1.0
# season : entire year
# time : entire night
# action : transmission
# wavelength_unit : um
wavelength  transmission
0.30000      0.10000
0.31233      0.29827
0.31444      0.34524
0.31570      0.37343
0.31696      0.40358
0.31822      0.42980
0.31991      0.46542
0.32454      0.50879
0.32959      0.54910
0.33464      0.58974
0.33969      0.62579
0.34600      0.65595
0.35357      0.69003
0.36367      0.72176
0.37756      0.74957
0.39271      0.77852
0.41164      0.80678
0.43437      0.83387
0.46340      0.86256
0.50759      0.88718
0.56061      0.89707
0.61363      0.90291
0.66665      0.90597
0.71967      0.91624
0.77270      0.92994
0.82572      0.94655
0.87874      0.96693
0.91684      0.98113
0.93429      0.81326
0.94060      0.84423
0.94158      0.86803
0.94237      0.89677
0.94831      0.93362
0.97216      0.98275
0.98605      0.99631
1.0159      0.99945
1.0540      0.99945
1.0908      0.99274
1.1111      0.96813
1.1143      0.93352
1.1175      0.89560
1.1333      0.84451
1.1365      0.90549
1.1375      0.95092
1.1556      0.92692
1.1587      0.96319
1.1865      0.98542
1.2363      0.99387
1.2676      0.95780
1.3017      0.98739
1.3322      0.94652
1.3370      0.92142
1.3433      0.88952
1.3492      0.81978
1.3524      0.63516
1.3587      0.48516
1.3810      0.32692
1.3968      0.48187
1.4190      0.59890
1.4286      0.75714
1.4444      0.82473
1.4635      0.87513
1.4678      0.91439
1.4876      0.96135
1.5226      0.99290
1.5714      0.96648
1.5936      0.98285
1.6021      0.95321
1.6222      0.99945
1.6513      0.99277
1.7055      0.99200
1.7563      0.97874
1.7739      0.95081
1.7879      0.91613
1.7908      0.88684
1.7936      0.85740
1.8058      0.83048
1.8074      0.79504
1.8149      0.75692
1.8175      0.71714
1.8313      0.55803
1.8349      0.43571
1.8481      0.24130
1.8584      0.15032
1.8730      0.35824
1.8821      0.60226
1.8957      0.77223
1.9111      0.63187
1.9175      0.26429
1.9397      0.49835
1.9619      0.70604
1.9714      0.85769
1.9867      0.96049
1.9937      0.81484
2.0063      0.63022
2.0222      0.76374
2.0265      0.89507
2.0498      0.96260
2.0667      0.86099
2.1046      0.98877
2.1598      0.99342
2.2119      0.98765
2.2678      0.97366
2.2864      0.95010
2.3011      0.91564
2.3154      0.81851
2.3292      0.97572
2.3401      0.95188
2.3659      0.91402
2.3946      0.94882
2.4132      0.96814
2.4542      0.97458
2.4730      0.94505
2.4921      0.88077
2.5016      0.76868
2.5111      0.64670
2.5238      0.54121
2.5333      0.45714
2.5429      0.34835
2.5524      0.21648
2.5714      0.10110
2.5937      0.015385
2.6237      0.012401
2.6413      0.26264
2.6857      0.00054945
2.7270      0.094505
2.7683      0.0021978
2.7968      0.078022
2.8159      0.19176
2.8317      0.38297
2.8635      0.53297
2.8794      0.66154
2.9016      0.78516
2.9206      0.87582
2.9460      0.94011
2.9778      0.87912
2.9905      0.93681

